Composition (at. %),Material condition,Processing history,Phase,Grain_size_um,Hardness_GPa,Yield_strength_MPa,UTS_MPa,Final_elongation_percent,Testing_temperature_K,Impact_energy_J,Impact_energy_uncertainty_J,Test_type,Standard_followed,Reference
Al2.44-Co24.39-Cr24.39-Fe24.39-Ni24.39,hot-forged,VLM + hot-forged (1050°C & 87% reduction),FCC,,,250.0,635.0,68.0,298.0,420.0,,Charpy,ASTM E-23,"Li, D. & Zhang, Y. The ultrahigh charpy impact toughness of forged AlxCoCrFeNi high entropy alloys at room and cryogenic temperatures. Intermetallics 70, 24-28, doi:10.1016/j.intermet.2015.11.002 (2016)."
Al2.44-Co24.39-Cr24.39-Fe24.39-Ni24.39,hot-forged,VLM + hot-forged (1050°C & 87% reduction),FCC,,,295.0,745.0,77.0,200.0,318.0,,Charpy,ASTM E-23,"Li, D. & Zhang, Y. The ultrahigh charpy impact toughness of forged AlxCoCrFeNi high entropy alloys at room and cryogenic temperatures. Intermetallics 70, 24-28, doi:10.1016/j.intermet.2015.11.002 (2016)."
Al2.44-Co24.39-Cr24.39-Fe24.39-Ni24.39,hot-forged,VLM + hot-forged (1050°C & 87% reduction),FCC,,,412.0,1042.0,101.0,77.0,289.0,,Charpy,ASTM E-23,"Li, D. & Zhang, Y. The ultrahigh charpy impact toughness of forged AlxCoCrFeNi high entropy alloys at room and cryogenic temperatures. Intermetallics 70, 24-28, doi:10.1016/j.intermet.2015.11.002 (2016)."
Al6.98-Co23.26-Cr23.26-Fe23.26-Ni23.26,hot-forged,VLM + hot-forged (1050°C & 87% reduction),FCC,,,220.0,620.0,76.0,298.0,413.0,,Charpy,ASTM E-23,"Li, D. & Zhang, Y. The ultrahigh charpy impact toughness of forged AlxCoCrFeNi high entropy alloys at room and cryogenic temperatures. Intermetallics 70, 24-28, doi:10.1016/j.intermet.2015.11.002 (2016)."
Al6.98-Co23.26-Cr23.26-Fe23.26-Ni23.26,hot-forged,VLM + hot-forged (1050°C & 87% reduction),FCC,,,310.0,635.0,73.0,200.0,408.0,,Charpy,ASTM E-23,"Li, D. & Zhang, Y. The ultrahigh charpy impact toughness of forged AlxCoCrFeNi high entropy alloys at room and cryogenic temperatures. Intermetallics 70, 24-28, doi:10.1016/j.intermet.2015.11.002 (2016)."
Al6.98-Co23.26-Cr23.26-Fe23.26-Ni23.26,hot-forged,VLM + hot-forged (1050°C & 87% reduction),FCC,,,515.0,1010.0,82.0,77.0,328.0,,Charpy,ASTM E-23,"Li, D. & Zhang, Y. The ultrahigh charpy impact toughness of forged AlxCoCrFeNi high entropy alloys at room and cryogenic temperatures. Intermetallics 70, 24-28, doi:10.1016/j.intermet.2015.11.002 (2016)."
Co25.00-Cr25.00-Fe25.00-Ni25.00,as-cast,VLM,FCC,150.0,,,,,298.0,287.44,,Charpy,ASTM E-23,"Xia, S. Q., Gao, M. C. & Zhang, Y. Abnormal temperature dependence of impact toughness in Al CoCrFeNi system high entropy alloys. Mater. Chem. Phys. 210, 213-221, doi:10.1016/j.matchemphys.2017.06.021 (2018)."
Co25.00-Cr25.00-Fe25.00-Ni25.00,as-cast,VLM,FCC,150.0,,,,,200.0,321.0,,Charpy,ASTM E-23,"Xia, S. Q., Gao, M. C. & Zhang, Y. Abnormal temperature dependence of impact toughness in Al CoCrFeNi system high entropy alloys. Mater. Chem. Phys. 210, 213-221, doi:10.1016/j.matchemphys.2017.06.021 (2018)."
Co25.00-Cr25.00-Fe25.00-Ni25.00,as-cast,VLM,FCC,150.0,,,,,77.0,397.87,,Charpy,ASTM E-23,"Xia, S. Q., Gao, M. C. & Zhang, Y. Abnormal temperature dependence of impact toughness in Al CoCrFeNi system high entropy alloys. Mater. Chem. Phys. 210, 213-221, doi:10.1016/j.matchemphys.2017.06.021 (2018)."
Co25.00-Cr25.00-Fe25.00-Ni25.00,as-cast,VLM,FCC,150.0,,,,,298.0,275.09,,Charpy,ASTM E-23,"Xia, S. Q., Gao, M. C. & Zhang, Y. Abnormal temperature dependence of impact toughness in Al CoCrFeNi system high entropy alloys. Mater. Chem. Phys. 210, 213-221, doi:10.1016/j.matchemphys.2017.06.021 (2018)."
Co25.00-Cr25.00-Fe25.00-Ni25.00,as-cast,VLM,FCC,150.0,,,,,200.0,321.0,,Charpy,ASTM E-23,"Xia, S. Q., Gao, M. C. & Zhang, Y. Abnormal temperature dependence of impact toughness in Al CoCrFeNi system high entropy alloys. Mater. Chem. Phys. 210, 213-221, doi:10.1016/j.matchemphys.2017.06.021 (2018)."
Co25.00-Cr25.00-Fe25.00-Ni25.00,as-cast,VLM,FCC,150.0,,,,,77.0,377.1,,Charpy,ASTM E-23,"Xia, S. Q., Gao, M. C. & Zhang, Y. Abnormal temperature dependence of impact toughness in Al CoCrFeNi system high entropy alloys. Mater. Chem. Phys. 210, 213-221, doi:10.1016/j.matchemphys.2017.06.021 (2018)."
Al2.44-Co24.39-Cr24.39-Fe24.39-Ni24.39,as-cast,VLM,FCC,150.0,,,,,298.0,294.34,,Charpy,ASTM E-23,"Xia, S. Q., Gao, M. C. & Zhang, Y. Abnormal temperature dependence of impact toughness in Al CoCrFeNi system high entropy alloys. Mater. Chem. Phys. 210, 213-221, doi:10.1016/j.matchemphys.2017.06.021 (2018)."
Al2.44-Co24.39-Cr24.39-Fe24.39-Ni24.39,as-cast,VLM,FCC,150.0,,,,,200.0,326.0,,Charpy,ASTM E-23,"Xia, S. Q., Gao, M. C. & Zhang, Y. Abnormal temperature dependence of impact toughness in Al CoCrFeNi system high entropy alloys. Mater. Chem. Phys. 210, 213-221, doi:10.1016/j.matchemphys.2017.06.021 (2018)."
Al2.44-Co24.39-Cr24.39-Fe24.39-Ni24.39,as-cast,VLM,FCC,150.0,,,,,77.0,371.45,,Charpy,ASTM E-23,"Xia, S. Q., Gao, M. C. & Zhang, Y. Abnormal temperature dependence of impact toughness in Al CoCrFeNi system high entropy alloys. Mater. Chem. Phys. 210, 213-221, doi:10.1016/j.matchemphys.2017.06.021 (2018)."
