Composition (at. %),Material condition,Processing history,Phase,Grain_size_um,Hardness_GPa,Yield_strength_MPa,UTS_MPa,Final_elongation_percent,Testing_temperature_K,Impact_toughness_kJ_m2,Impact_toughness_uncertainty_kJ_m2,Test_type,Standard_followed,Reference
Al18.00-Co20.00-Cr21.00-Fe20.00-Ni21.00,as-cast,arc-melted,BCC,,4.981956,,366.0,,298.0,12.0,2.0,,,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
Al15.50-Co20.00-Cr22.25-Fe20.00-Ni22.25,as-cast,arc-melted,FCC+BCC+ordered BCC,,5.080026,,592.0,,298.0,15.0,3.0,,,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
Al13.00-Co20.00-Cr23.50-Fe20.00-Ni23.50,as-cast,arc-melted,FCC,,3.7855019999999997,760.0,1010.0,,298.0,106.0,23.0,,,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
Al10.50-Co20.00-Cr24.75-Fe20.00-Ni24.75,as-cast,arc-melted,FCC+BCC,,2.402715,370.0,790.0,,298.0,477.0,15.0,,,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
C0.03-Co23.29-Cr6.22-Fe23.90-Mn23.09-Ni23.46,annealed,VIM + cold-rolled (80% reduction) + annealed (800°C & 1h) + air-quenched,FCC,6.4,,313.0,651.0,56.0,293.0,1420.0,,Charpy,,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
C0.03-Co23.29-Cr6.22-Fe23.90-Mn23.09-Ni23.46,annealed,VIM + cold-rolled (80% reduction) + annealed (800°C & 1h) + air-quenched,FCC,6.4,,460.0,970.0,76.0,77.0,1400.0,,Charpy,,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
C0.53-Co23.17-Cr6.42-Fe23.97-Mn23.67-Ni22.24,annealed,VIM + cold-rolled (80% reduction) + annealed (800°C & 1h) + air-quenched,FCC+cabide,5.2,,381.0,721.0,52.0,293.0,1190.0,,Charpy,,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
C0.53-Co23.17-Cr6.42-Fe23.97-Mn23.67-Ni22.24,annealed,VIM + cold-rolled (80% reduction) + annealed (800°C & 1h) + air-quenched,FCC+cabide,5.2,,480.0,994.0,62.0,77.0,1300.0,,Charpy,,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
C2.11-Co23.42-Cr6.23-Fe22.41-Mn22.02-Ni23.82,annealed,VIM + cold-rolled (80% reduction) + annealed (800°C & 1h) + air-quenched,FCC+cabide,3.6,,636.0,933.0,43.0,293.0,850.0,,Charpy,,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
C2.11-Co23.42-Cr6.23-Fe22.41-Mn22.02-Ni23.82,annealed,VIM + cold-rolled (80% reduction) + annealed (800°C & 1h) + air-quenched,FCC+cabide,3.6,,786.0,1218.0,52.0,77.0,860.0,,Charpy,,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
Co20.00-Cr26.00-Fe20.00-Mn20.00-Ni14.00,annealed,hot-forged (1273K) + annealed (1273K & 8h),FCC,33.0,,,,,298.0,595.0,,Charpy,,"Jiang, W., Gao, X., Cao, Y., Liu, Y., Mao, Q., Gu, L. & Zhao, Y. Charpy impact behavior and deformation mechanisms of Cr26Mn20Fe20Co20Ni14 high-entropy alloy at ambient and cryogenic temperatures. Mater. Sci. Eng.: A 837, doi:10.1016/j.msea.2022.142735 (2022)."
Co20.00-Cr26.00-Fe20.00-Mn20.00-Ni14.00,annealed,hot-forged (1273K) + annealed (1273K & 8h),FCC,33.0,,,,,77.0,667.0,,Charpy,,"Jiang, W., Gao, X., Cao, Y., Liu, Y., Mao, Q., Gu, L. & Zhao, Y. Charpy impact behavior and deformation mechanisms of Cr26Mn20Fe20Co20Ni14 high-entropy alloy at ambient and cryogenic temperatures. Mater. Sci. Eng.: A 837, doi:10.1016/j.msea.2022.142735 (2022)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ni20.00,annealed,cold-rolled + annealed (1273K & 1h),FCC,27.5,,,,,298.0,607.0,,Charpy,,"Jiang, W., Gao, X., Cao, Y., Liu, Y., Mao, Q., Gu, L. & Zhao, Y. Charpy impact behavior and deformation mechanisms of Cr26Mn20Fe20Co20Ni14 high-entropy alloy at ambient and cryogenic temperatures. Mater. Sci. Eng.: A 837, doi:10.1016/j.msea.2022.142735 (2022)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ni20.00,annealed,cold-rolled + annealed (1273K & 1h),FCC,27.5,,,,,77.0,606.0,,Charpy,,"Jiang, W., Gao, X., Cao, Y., Liu, Y., Mao, Q., Gu, L. & Zhao, Y. Charpy impact behavior and deformation mechanisms of Cr26Mn20Fe20Co20Ni14 high-entropy alloy at ambient and cryogenic temperatures. Mater. Sci. Eng.: A 837, doi:10.1016/j.msea.2022.142735 (2022)."
