Composition (at. %),Material condition,Processing history,Phase,Grain_size_um,Density_g_cm3,Hardness_GPa,Youngs_modulus_GPa,Yield_strength_MPa,UTS_MPa,Final_elongation_percent,Testing_temperature_K,Fracture_toughness_MPa_m0.5,Reference
,High austenitizing (1200-870°C),,,,,4.524116205,,1593.0,2193.0,12.0,298.0,70.0,Ritchie 1976 table II
Co33.33-Cr33.33-Ni33.33,annealed,arc-melted + homogenized (1473K & 24h) + cold forged and cross-rolled + annealed (1073K & 1h),FCC,8.0,,,,,,,20.0,459.0,"Liu, D., Yu, Q., Kabra, S., Jiang, M., Forna-Kreutzer, P., Zhang, R., Payne, M., Walsh, F., Gludovatz, B., Asta, M., Minor, A. M., George, E. P. & Ritchie, R. O. Exceptional fracture toughness of CrCoNi-based medium-and high-entropy alloys at 20 kelvin. Science 378, 978-983 (2022)."
Co20-Cr20-Fe20-Mn20-Ni20,annealed,arc-melted + homogenized (1473K & 24h) + cold forged and cross-rolled + annealed (1073K & 1h),FCC,21.0,,,,,,,20.0,262.0,"Liu, D., Yu, Q., Kabra, S., Jiang, M., Forna-Kreutzer, P., Zhang, R., Payne, M., Walsh, F., Gludovatz, B., Asta, M., Minor, A. M., George, E. P. & Ritchie, R. O. Exceptional fracture toughness of CrCoNi-based medium-and high-entropy alloys at 20 kelvin. Science 378, 978-983 (2022)."
C36.52-Co26.97-W36.52,as-sintered,"SPS (1473K, 30MPa, & 5min)",,,,16.97,,,,,298.0,14.74,"Zheng, D. High-Entropy-Alloy CoFeNiCr Bonded WC-Based Cemented Carbide Prepared by Spark Plasma Sintering. Met. Mat. Trans. A 53, 2724-2729, doi:10.1007/s11661-022-06701-6 (2022)."
,Typical,,,,,5.00500245,,1570.0,1965.0,12.0,298.0,65.0,Dynamic Metals article
Co22.22-Cr22.22-Fe22.22-Nb11.11-Ni22.22,as-cast,arc-melted,FCC+C14 Laves,25.0,,9.2,,,,,298.0,13.1,"Chung, D., Ding, Z. & Yang, Y. Hierarchical Eutectic Structure Enabling Superior Fracture Toughness and Superb Strength in CoCrFeNiNb0.5 Eutectic High Entropy Alloy at Room Temperature. Adv. Eng. Mater. 21, doi:10.1002/adem.201801060 (2018)."
,Typical,,,,,5.389711446,,1570.0,2000.0,13.0,298.0,118.0,Dynamic Metals article
,H950 (aged),,,,,4.524116205,,1785.0,1895.0,12.0,298.0,54.0,Aubert Duval brochure table
C43.35-Co3.32-Cr3.32-Fe3.32-Ni3.32-W43.35,as-sintered,"SPS (1473K, 30MPa, & 5min)",,,,16.05,,,,,298.0,16.71,"Zheng, D. High-Entropy-Alloy CoFeNiCr Bonded WC-Based Cemented Carbide Prepared by Spark Plasma Sintering. Met. Mat. Trans. A 53, 2724-2729, doi:10.1007/s11661-022-06701-6 (2022)."
C47.37-Co1.31-Cr1.31-Fe1.31-Ni1.31-W47.37,as-sintered,"SPS (1473K, 30MPa, & 5min)",,,,19.06,,,,,298.0,11.62,"Zheng, D. High-Entropy-Alloy CoFeNiCr Bonded WC-Based Cemented Carbide Prepared by Spark Plasma Sintering. Met. Mat. Trans. A 53, 2724-2729, doi:10.1007/s11661-022-06701-6 (2022)."
,H1000 (aged),,,,,4.716470703,,1620.0,1710.0,13.0,298.0,90.0,Aubert Duval brochure table
Mo25-Nb25-Ta25-W25,homogenized,arc-melted + homogenized (2073K & 7days),BCC,,,,,,,,298.0,1.7000000000000002,"Zou, Y., Okle, P., Yu, H., Sumigawa, T., Kitamura, T., Maiti, S., Steurer, W. & Spolenak, R. Fracture properties of a refractory high-entropy alloy: In situ micro-cantilever and atom probe tomography studies. Scr. Mater. 128, 95-99, doi:10.1016/j.scriptamat.2016.09.036 (2017)."
,Aged,,,,,4.812647952,,1724.0,1758.0,6.0,298.0,82.4,Chromium Nickel Alloys site
,Low austenitizing (870°C),,,,,5.00500245,,1593.0,2193.0,10.0,298.0,35.0,Ritchie 1976 table II
